subject,section,room,needs_lab,is_lab,score
ORAL COMMUNICATION IN CONTEXT,ABM 11-A,G201,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-B,G203,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-C,G204,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-D,G205,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-E,G206,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-F,G207,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-G,G208,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-H,G209,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-I,V502,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ABM 11-J,V503,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ADT 11-A,Y303,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,ADT 11-B,L228,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,HUMSS 11-A,L204,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,HUMSS 11-B,L208,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,HUMSS 11-C,L209,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,HUMSS 11-D,L210,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,HUMSS 11-E,L211,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-A,Y404,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-B,Y405,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-C,Y501,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-D,Y502,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-E,Y503,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-F,Y504,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-G,Y505,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-H,Y506,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-I,L204,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-J,L208,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-K,L209,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-L,L210,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-M,L211,False,False,1.0
ORAL COMMUNICATION IN CONTEXT,STEM 11-N,L228,False,False,1.0
EARTH AND LIFE SCIENCE,ADT 12-C,G103,False,False,1.0
EARTH AND LIFE SCIENCE,ADT 12-A,G101,False,False,1.0
EARTH AND LIFE SCIENCE,ADT 12-B,G102,False,False,1.0
EMPOWERMENT TECHNOLOGIES 1 (COMPUTATIONAL THINKING),ABM 12-A,Y602,False,False,1.0
EMPOWERMENT TECHNOLOGIES 1 (COMPUTATIONAL THINKING),ABM 12-B,Y602,False,False,1.0
EMPOWERMENT TECHNOLOGIES 1 (COMPUTATIONAL THINKING),ABM 12-C,Y602,False,False,1.0
