Subject,Teacher_Required,Teacher_Assigned,Section,Area,Day,Time,Room,Building
Subject_000,Teacher_00,Teacher_00,A,Math,Wednesday,11:00-12:00,A02,A
Subject_001,Teacher_01,Teacher_00,B,Math,Wednesday,13:00-14:00,B01,B
Subject_002,Teacher_02,Teacher_01,C,Math,Monday,12:00-13:00,D01,D
Subject_003,Teacher_03,Teacher_01,A,Math,Monday,10:00-11:00,D03,D
Subject_004,Teacher_04,Teacher_01,B,Math,Monday,8:00-9:00,A04,A
Subject_005,Teacher_05,Teacher_01,C,Math,Thursday,14:00-15:00,A05,A
Subject_006,Teacher_06,Teacher_15,A,Math,Monday,8:00-9:00,B04,B
Subject_007,Teacher_07,Teacher_15,B,Math,Friday,10:00-11:00,C05,C
Subject_008,Teacher_08,Teacher_15,C,Math,Wednesday,8:00-9:00,B06,B
Subject_009,Teacher_09,Teacher_15,A,Math,Monday,9:00-10:00,A05,A
Subject_010,Teacher_10,Teacher_05,B,Math,Friday,14:00-15:00,A03,A
Subject_011,Teacher_11,Teacher_05,C,Math,Wednesday,10:00-11:00,A03,A
Subject_012,Teacher_12,Teacher_05,A,Math,Thursday,9:00-10:00,A03,A
Subject_013,Teacher_13,Teacher_05,B,Math,Friday,8:00-9:00,A02,A
Subject_014,Teacher_14,Teacher_20,C,Math,Friday,12:00-13:00,B04,B
Subject_015,Teacher_15,Teacher_20,A,Math,Friday,14:00-15:00,C01,C
Subject_016,Teacher_16,Teacher_20,B,Math,Tuesday,14:00-15:00,A02,A
Subject_017,Teacher_17,Teacher_20,C,Math,Friday,11:00-12:00,D02,D
Subject_018,Teacher_18,Teacher_14,A,Math,Monday,14:00-15:00,A03,A
Subject_019,Teacher_19,Teacher_00,B,Math,Monday,9:00-10:00,A01,A
Subject_020,Teacher_20,Teacher_14,C,Math,Wednesday,14:00-15:00,C01,C
Subject_021,Teacher_21,Teacher_14,A,Math,Monday,11:00-12:00,D05,D
Subject_022,Teacher_00,Teacher_00,B,Math,Monday,10:00-11:00,A06,A
Subject_023,Teacher_01,Teacher_14,C,Math,Tuesday,14:00-15:00,C05,C
Subject_024,Teacher_02,Teacher_07,A,Math,Wednesday,13:00-14:00,C04,C
Subject_025,Teacher_03,Teacher_07,B,Math,Friday,11:00-12:00,A05,A
Subject_026,Teacher_04,Teacher_07,C,Math,Tuesday,11:00-12:00,B03,B
Subject_027,Teacher_05,Teacher_07,A,Math,Tuesday,10:00-11:00,C03,C
Subject_028,Teacher_06,Teacher_02,B,Math,Wednesday,11:00-12:00,B02,B
Subject_029,Teacher_07,Teacher_02,C,Math,Thursday,12:00-13:00,A04,A
Subject_030,Teacher_08,Teacher_02,A,Math,Tuesday,14:00-15:00,A04,A
Subject_031,Teacher_09,Teacher_02,B,Math,Friday,9:00-10:00,C05,C
Subject_032,Teacher_10,Teacher_08,C,Math,Thursday,8:00-9:00,A05,A
Subject_033,Teacher_11,Teacher_08,A,Math,Tuesday,11:00-12:00,B02,B
Subject_034,Teacher_12,Teacher_08,B,Math,Thursday,10:00-11:00,B01,B
Subject_035,Teacher_13,Teacher_08,C,Math,Friday,9:00-10:00,A05,A
Subject_036,Teacher_14,Teacher_06,A,Math,Thursday,10:00-11:00,B05,B
Subject_037,Teacher_15,Teacher_06,B,Math,Tuesday,9:00-10:00,A02,A
Subject_038,Teacher_16,Teacher_06,C,Math,Friday,14:00-15:00,B02,B
Subject_039,Teacher_17,Teacher_06,A,Math,Monday,13:00-14:00,D02,D
Subject_040,Teacher_18,Teacher_10,B,Math,Monday,13:00-14:00,B04,B
Subject_041,Teacher_19,Teacher_10,C,Math,Friday,13:00-14:00,B02,B
Subject_042,Teacher_20,Teacher_10,A,Math,Tuesday,8:00-9:00,A04,A
Subject_043,Teacher_21,Teacher_10,B,Math,Tuesday,11:00-12:00,D03,D
Subject_044,Teacher_00,Teacher_11,C,Math,Thursday,9:00-10:00,C05,C
Subject_045,Teacher_01,Teacher_11,A,Math,Tuesday,12:00-13:00,C02,C
Subject_046,Teacher_02,Teacher_11,B,Math,Wednesday,9:00-10:00,B05,B
Subject_047,Teacher_03,Teacher_11,C,Math,Monday,9:00-10:00,C05,C
Subject_048,Teacher_04,Teacher_12,A,Math,Thursday,12:00-13:00,B02,B
Subject_049,Teacher_05,Teacher_12,B,Math,Thursday,13:00-14:00,A03,A
Subject_050,Teacher_06,Teacher_12,C,Math,Monday,14:00-15:00,D02,D
Subject_051,Teacher_07,Teacher_12,A,Math,Friday,8:00-9:00,B01,B
Subject_052,Teacher_08,Teacher_13,B,Math,Wednesday,10:00-11:00,A01,A
Subject_053,Teacher_09,Teacher_13,C,Math,Friday,10:00-11:00,A04,A
Subject_054,Teacher_10,Teacher_13,A,Math,Wednesday,14:00-15:00,D02,D
Subject_055,Teacher_11,Teacher_13,B,Math,Thursday,8:00-9:00,D05,D
Subject_056,Teacher_12,Teacher_04,C,Math,Tuesday,13:00-14:00,A03,A
Subject_057,Teacher_13,Teacher_04,A,Math,Friday,13:00-14:00,B04,B
Subject_058,Teacher_14,Teacher_04,B,Math,Wednesday,8:00-9:00,A02,A
Subject_059,Teacher_15,Teacher_04,C,Math,Friday,8:00-9:00,C04,C
Subject_060,Teacher_16,Teacher_09,A,Math,Tuesday,13:00-14:00,D02,D
Subject_061,Teacher_17,Teacher_09,B,Math,Tuesday,10:00-11:00,A02,A
Subject_062,Teacher_18,Teacher_09,C,Math,Tuesday,9:00-10:00,D05,D
Subject_063,Teacher_19,Teacher_09,A,Math,Friday,11:00-12:00,B02,B
Subject_064,Teacher_20,Teacher_17,B,Math,Monday,11:00-12:00,D03,D
Subject_065,Teacher_21,Teacher_17,C,Math,Monday,10:00-11:00,A01,A
Subject_066,Teacher_00,Teacher_17,A,Math,Monday,12:00-13:00,C01,C
Subject_067,Teacher_01,Teacher_17,B,Math,Monday,14:00-15:00,D05,D
Subject_068,Teacher_02,Teacher_18,C,Math,Monday,11:00-12:00,D02,D
Subject_069,Teacher_03,Teacher_18,A,Math,Thursday,13:00-14:00,D03,D
Subject_070,Teacher_04,Teacher_18,B,Math,Tuesday,13:00-14:00,A05,A
Subject_071,Teacher_05,Teacher_18,C,Math,Wednesday,13:00-14:00,A02,A
Subject_072,Teacher_06,Teacher_19,A,Math,Thursday,11:00-12:00,D03,D
Subject_073,Teacher_07,Teacher_19,B,Math,Wednesday,14:00-15:00,D04,D
Subject_074,Teacher_08,Teacher_19,C,Math,Thursday,13:00-14:00,A05,A
Subject_075,Teacher_09,Teacher_19,A,Math,Friday,9:00-10:00,A01,A
Subject_076,Teacher_10,Teacher_03,B,Math,Thursday,11:00-12:00,A02,A
Subject_077,Teacher_11,Teacher_03,C,Math,Monday,8:00-9:00,D05,D
Subject_078,Teacher_12,Teacher_03,A,Math,Thursday,8:00-9:00,B03,B
Subject_079,Teacher_13,Teacher_03,B,Math,Thursday,14:00-15:00,A02,A
Subject_080,Teacher_14,Teacher_16,C,Math,Thursday,10:00-11:00,C05,C
Subject_081,Teacher_15,Teacher_16,A,Math,Friday,10:00-11:00,D01,D
Subject_082,Teacher_16,Teacher_16,B,Math,Thursday,12:00-13:00,A05,A
Subject_083,Teacher_17,Teacher_16,C,Math,Thursday,11:00-12:00,D04,D
