Subject,Teacher,Section,Day,Timeslot,Room,Building
Subject_000,Teacher_00,A,Wednesday,11:00-12:00,A02,A
Subject_001,Teacher_00,B,Wednesday,13:00-14:00,B01,B
Subject_002,Teacher_01,C,Monday,12:00-13:00,D01,D
Subject_003,Teacher_01,A,Monday,10:00-11:00,D03,D
Subject_004,Teacher_01,B,Monday,8:00-9:00,A04,A
Subject_005,Teacher_01,C,Thursday,14:00-15:00,A05,A
Subject_006,Teacher_15,A,Monday,8:00-9:00,B04,B
Subject_007,Teacher_15,B,Friday,10:00-11:00,C05,C
Subject_008,Teacher_15,C,Wednesday,8:00-9:00,B06,B
Subject_009,Teacher_15,A,Monday,9:00-10:00,A05,A
Subject_010,Teacher_05,B,Friday,14:00-15:00,A03,A
Subject_011,Teacher_05,C,Wednesday,10:00-11:00,A03,A
Subject_012,Teacher_05,A,Thursday,9:00-10:00,A03,A
Subject_013,Teacher_05,B,Friday,8:00-9:00,A02,A
Subject_014,Teacher_20,C,Friday,12:00-13:00,B04,B
Subject_015,Teacher_20,A,Friday,14:00-15:00,C01,C
Subject_016,Teacher_20,B,Tuesday,14:00-15:00,A02,A
Subject_017,Teacher_20,C,Friday,11:00-12:00,D02,D
Subject_018,Teacher_14,A,Monday,14:00-15:00,A03,A
Subject_019,Teacher_00,B,Monday,9:00-10:00,A01,A
Subject_020,Teacher_14,C,Wednesday,14:00-15:00,C01,C
Subject_021,Teacher_14,A,Monday,11:00-12:00,D05,D
Subject_022,Teacher_00,B,Monday,10:00-11:00,A06,A
Subject_023,Teacher_14,C,Tuesday,14:00-15:00,C05,C
Subject_024,Teacher_07,A,Wednesday,13:00-14:00,C04,C
Subject_025,Teacher_07,B,Friday,11:00-12:00,A05,A
Subject_026,Teacher_07,C,Tuesday,11:00-12:00,B03,B
Subject_027,Teacher_07,A,Tuesday,10:00-11:00,C03,C
Subject_028,Teacher_02,B,Wednesday,11:00-12:00,B02,B
Subject_029,Teacher_02,C,Thursday,12:00-13:00,A04,A
Subject_030,Teacher_02,A,Tuesday,14:00-15:00,A04,A
Subject_031,Teacher_02,B,Friday,9:00-10:00,C05,C
Subject_032,Teacher_08,C,Thursday,8:00-9:00,A05,A
Subject_033,Teacher_08,A,Tuesday,11:00-12:00,B02,B
Subject_034,Teacher_08,B,Thursday,10:00-11:00,B01,B
Subject_035,Teacher_08,C,Friday,9:00-10:00,A05,A
Subject_036,Teacher_06,A,Thursday,10:00-11:00,B05,B
Subject_037,Teacher_06,B,Tuesday,9:00-10:00,A02,A
Subject_038,Teacher_06,C,Friday,14:00-15:00,B02,B
Subject_039,Teacher_06,A,Monday,13:00-14:00,D02,D
Subject_040,Teacher_10,B,Monday,13:00-14:00,B04,B
Subject_041,Teacher_10,C,Friday,13:00-14:00,B02,B
Subject_042,Teacher_10,A,Tuesday,8:00-9:00,A04,A
Subject_043,Teacher_10,B,Tuesday,11:00-12:00,D03,D
Subject_044,Teacher_11,C,Thursday,9:00-10:00,C05,C
Subject_045,Teacher_11,A,Tuesday,12:00-13:00,C02,C
Subject_046,Teacher_11,B,Wednesday,9:00-10:00,B05,B
Subject_047,Teacher_11,C,Monday,9:00-10:00,C05,C
Subject_048,Teacher_12,A,Thursday,12:00-13:00,B02,B
Subject_049,Teacher_12,B,Thursday,13:00-14:00,A03,A
Subject_050,Teacher_12,C,Monday,14:00-15:00,D02,D
Subject_051,Teacher_12,A,Friday,8:00-9:00,B01,B
Subject_052,Teacher_13,B,Wednesday,10:00-11:00,A01,A
Subject_053,Teacher_13,C,Friday,10:00-11:00,A04,A
Subject_054,Teacher_13,A,Wednesday,14:00-15:00,D02,D
Subject_055,Teacher_13,B,Thursday,8:00-9:00,D05,D
Subject_056,Teacher_04,C,Tuesday,13:00-14:00,A03,A
Subject_057,Teacher_04,A,Friday,13:00-14:00,B04,B
Subject_058,Teacher_04,B,Wednesday,8:00-9:00,A02,A
Subject_059,Teacher_04,C,Friday,8:00-9:00,C04,C
Subject_060,Teacher_09,A,Tuesday,13:00-14:00,D02,D
Subject_061,Teacher_09,B,Tuesday,10:00-11:00,A02,A
Subject_062,Teacher_09,C,Tuesday,9:00-10:00,D05,D
Subject_063,Teacher_09,A,Friday,11:00-12:00,B02,B
Subject_064,Teacher_17,B,Monday,11:00-12:00,D03,D
Subject_065,Teacher_17,C,Monday,10:00-11:00,A01,A
Subject_066,Teacher_17,A,Monday,12:00-13:00,C01,C
Subject_067,Teacher_17,B,Monday,14:00-15:00,D05,D
Subject_068,Teacher_18,C,Monday,11:00-12:00,D02,D
Subject_069,Teacher_18,A,Thursday,13:00-14:00,D03,D
Subject_070,Teacher_18,B,Tuesday,13:00-14:00,A05,A
Subject_071,Teacher_18,C,Wednesday,13:00-14:00,A02,A
Subject_072,Teacher_19,A,Thursday,11:00-12:00,D03,D
Subject_073,Teacher_19,B,Wednesday,14:00-15:00,D04,D
Subject_074,Teacher_19,C,Thursday,13:00-14:00,A05,A
Subject_075,Teacher_19,A,Friday,9:00-10:00,A01,A
Subject_076,Teacher_03,B,Thursday,11:00-12:00,A02,A
Subject_077,Teacher_03,C,Monday,8:00-9:00,D05,D
Subject_078,Teacher_03,A,Thursday,8:00-9:00,B03,B
Subject_079,Teacher_03,B,Thursday,14:00-15:00,A02,A
Subject_080,Teacher_16,C,Thursday,10:00-11:00,C05,C
Subject_081,Teacher_16,A,Friday,10:00-11:00,D01,D
Subject_082,Teacher_16,B,Thursday,12:00-13:00,A05,A
Subject_083,Teacher_16,C,Thursday,11:00-12:00,D04,D
