Subject,Section,Actual_Placements,Missing
APPLIED ECONOMICS,ABM 12-A,1,1
BUSINESS FINANCE,ABM 12-H,1,1
BUSINESS FINANCE,ABM 12-I,1,1
CHRISTIAN LIVING 4,ABM 12-B,1,1
CHRISTIAN LIVING 4,ABM 12-F,1,1
CHRISTIAN LIVING 4,HUMSS 12-A,1,1
CHRISTIAN LIVING 4,HUMSS 12-C,1,1
CHRISTIAN LIVING 4,STEM 12-B,1,1
CHRISTIAN LIVING 4,STEM 12-P,1,1
DISASTER READINESS AND RISK REDUCTION,STEM 12-G,1,1
EARTH SCIENCE,STEM 11-B,1,1
EARTH SCIENCE,STEM 11-C,1,1
EARTH SCIENCE,STEM 11-D,1,1
EARTH SCIENCE,STEM 11-N,1,1
EMPOWERMENT TECHNOLOGIES 1 (COMPUTATIONAL THINKING),ABM 12-I,1,1
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),STEM 12-E,1,1
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),STEM 12-F,1,1
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),STEM 12-H,1,1
"FUNDAMENTALS OF ACCOUNTING,BUSINESS AND MANAGEMENT 2",ABM 12-C,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-B1,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-B2,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-D1,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-E1,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-G2,1,1
HOMEROOM,HUMSS 12-A,1,1
HOMEROOM,SPT 11-A,1,1
HOMEROOM,STEM 11-K,1,1
HOMEROOM,STEM 12-A,1,1
HOMEROOM,STEM 12-B,1,1
HOMEROOM,STEM 12-E,1,1
HOMEROOM,STEM 12-G,1,1
HOMEROOM,STEM 12-I,1,1
HOMEROOM,STEM 12-P,1,1
HOMEROOM,STEM 12-Q,1,1
HOMEROOM,STEM 12-S,1,1
KOMUNIKASYON AT PANANALIKSIK SA WIKA AT KULTURANG PILIPINO,ADT 11-B,1,1
KOMUNIKASYON AT PANANALIKSIK SA WIKA AT KULTURANG PILIPINO,STEM 11-B,1,1
KOMUNIKASYON AT PANANALIKSIK SA WIKA AT KULTURANG PILIPINO,STEM 11-G,1,1
MEDIA AND INFORMATION LITERACY,ABM 12-C,1,1
MEDIA AND INFORMATION LITERACY,ABM 12-D,1,1
MEDIA INFORMATION AND LITERACY,ADT 12-B,1,1
ORAL COMMUNICATION IN CONTEXT,ABM 11-H,1,1
ORAL COMMUNICATION IN CONTEXT,HUMSS 11-B,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-A,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-K,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-L,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-M,1,1
PRACTICAL RESEARCH 2,STEM 12-A,1,1
PRACTICAL RESEARCH 2,STEM 12-B,1,1
