Room,Campus,Total_Sessions,Unique_Subjects,Days_Used,Busiest_Day,Most_Common_Time
Y604,Y,22,5,4,M,0915-1045
Y402,Y,22,5,5,F,0915-1045
Y506,Y,20,6,5,F,1245-1415
L228,L,16,5,5,W,0800-0900
Y505,Y,16,5,5,F,1430-1630
G306A&B,G,16,1,4,T,1100-1230
L211,L,16,4,5,M,0800-0900
V503,V,15,6,5,M,1100-1230
L204,L,14,3,5,M,0800-0900
L210,L,14,4,4,M,1100-1230
Y606,Y,14,5,4,T,0800-0900
Y306,Y,12,3,5,F,1515-1715
L209,L,12,4,5,H,0730-0900
Y403,Y,12,5,5,T,0730-0930
Y504,Y,12,4,5,T,0800-0900
G101,G,10,2,4,H,0800-0900
V502,V,10,3,5,F,0730-0900
Y303,Y,10,3,5,F,0730-0930
L208,L,10,3,5,F,1015-1045
G209,G,8,2,4,T,1618-1815
Y304,Y,8,3,5,W,1300-1330
G302 A&B,G,8,1,4,T,0730-0900
G302A&B,G,8,1,4,T,1430-1600
G103,G,8,2,4,T,1015-1045
G102,G,8,2,5,M,1545-1745
G211,G,6,2,3,F,1245-1415
Y503,Y,6,2,5,T,0800-0900
Y502,Y,6,2,5,H,1100-1230
Y405,Y,6,2,5,H,0915-1045
E101,E,6,1,5,W,0730-0930
E2flr hallway,E,6,1,5,W,0730-0930
G203,G,4,1,4,M,0730-0900
G-206,G,4,1,4,M,0800-0900
Y501,Y,4,2,2,T,0945-1015
G206,G,4,1,2,T,1615-1815
G201,G,4,1,4,M,1615-1815
G-205,G,4,1,4,T,0800-0900
Y404,Y,4,2,3,F,0730-0930
G208,G,4,1,4,T,0730-0900
G205,G,4,1,2,T,1100-1230
G-207,G,4,1,4,M,1100-1230
E7T,E,3,1,3,F,0730-0930
G-204,G,2,1,2,M,1600-1630
G-209,G,2,1,2,H,1100-1130
G-211,G,2,1,2,T,0945-1015
G207,G,2,1,1,W,0915-1045
G204,G,2,1,2,W,1430-1600
G-203,G,2,1,2,H,1600-1630
G-201,G,2,1,2,M,1600-1630
E801,E,2,1,2,H,1300-1500
