Section,Day,Classes,Total Hours,Max Gap (hours),Back-to-back Classes,Daily Score
ABM 12-B,T,2,2.0,5.0,0,70.0%
ABM 12-B,W,1,1.5,0.0,0,100.0%
ABM 12-B,TF,2,23.0,2.5,0,56.7%
ABM 12-B,H,1,2.0,0.0,0,100.0%
ABM 12-B,F,2,23.0,6.8,0,40.0%
ABM 12-E,F,3,4.5,23.2,0,66.7%
ABM 12-E,H,2,4.0,22.5,0,70.0%
ABM 12-E,TF,2,24.5,1.0,0,70.0%
ABM 12-E,W,1,22.5,0.0,0,70.0%
T-ADTCWR-1,H,3,2.5,23.5,0,70.0%
T-ADTCWR-1,TF,1,0.5,0.0,0,100.0%
T-ADTMUS-1,T,1,22.5,0.0,0,70.0%
T-ADTMUS-1,F,1,1.5,0.0,0,100.0%
T-ADTMUS-1,M,2,2.5,3.0,0,86.7%
T-ADTTAR-1,M,2,1.0,1.8,0,93.3%
T-ADTTAR-1,W,2,3.0,0.2,0,100.0%
T-ADTVMA-1,H,2,1.5,3.0,0,86.7%
T-ADTVMA-1,MH,1,0.5,0.0,0,100.0%
T-ADTVMA-1,T,1,1.5,0.0,0,100.0%
