Section,Classes,Days,Duplicates,Quality Score
ABM 11-A,8,5,1,68.0%
ABM 11-B,8,5,1,71.3%
ABM 11-C,7,4,0,96.7%
ABM 11-D,8,5,1,74.3%
ABM 11-E,8,5,1,71.3%
ABM 11-F,8,5,1,70.7%
ABM 11-G,8,4,1,75.8%
ABM 11-H,8,7,1,74.8%
ABM 11-I,7,5,0,100.0%
ABM 11-J,7,4,0,90.8%
ADT 11-A,9,4,1,70.0%
ADT 11-B,9,5,1,74.0%
HUMSS 11-A,7,6,0,100.0%
HUMSS 11-B,8,5,0,92.7%
HUMSS 11-C,8,5,0,86.3%
HUMSS 11-D,8,6,0,91.1%
HUMSS 11-E,8,6,0,95.0%
STEM 11-A,8,5,1,67.3%
STEM 11-B,8,6,1,77.8%
STEM 11-C,7,4,0,90.8%
STEM 11-D,7,4,0,90.8%
STEM 11-E,8,7,1,75.7%
STEM 11-F,7,4,0,85.8%
STEM 11-G,7,3,0,75.6%
STEM 11-H,6,4,0,92.5%
STEM 11-I,7,4,1,78.3%
STEM 11-J,6,4,0,91.3%
STEM 11-K,6,5,0,100.0%
STEM 11-L,7,5,1,69.3%
STEM 11-M,7,5,1,77.3%
STEM 11-N,7,4,0,85.0%
ADT 12-C,6,4,0,92.5%
ADT 12-A,6,4,0,90.8%
ADT 12-B,6,4,0,92.5%
ABM 12-A,7,4,0,83.3%
ABM 12-B,8,5,1,53.3%
ABM 12-C,8,5,1,69.3%
ABM 12-D,8,6,1,71.1%
ABM 12-E,8,4,1,49.2%
ABM 12-F,8,7,1,76.7%
ABM 12-G,7,4,0,85.0%
ABM 12-H,7,5,0,97.3%
ABM 12-I,7,5,0,85.3%
ABM 12-J,7,3,0,81.1%
STEM 12-A,10,5,1,71.3%
STEM 12-B,9,5,0,91.3%
STEM 12-C,9,7,0,95.7%
STEM 12-D,9,5,0,92.3%
STEM 12-E,9,6,0,89.4%
STEM 12-F,9,6,0,94.4%
STEM 12-G,10,6,1,63.9%
STEM 12-H,10,4,1,70.8%
STEM 12-I,9,6,0,99.4%
STEM 12-J,8,6,0,97.8%
HUMSS 12-A1,1,1,0,100.0%
HUMSS 12-A2,1,1,0,100.0%
HUMSS 12-B1,1,1,0,100.0%
HUMSS 12-B2,1,1,0,100.0%
HUMSS 12-C1,1,1,0,100.0%
HUMSS 12-C2,1,1,0,100.0%
HUMSS 12-D1,1,1,0,100.0%
HUMSS 12-D2,1,1,0,100.0%
STEM 12-K,9,4,0,76.7%
STEM 12-L,9,5,0,87.3%
STEM 12-M,9,6,0,97.8%
STEM 12-N,9,7,0,99.5%
STEM 12-O,9,6,0,84.4%
STEM 12-P,10,6,1,74.4%
STEM 12-Q,9,6,0,86.7%
STEM 12-R,9,3,0,73.9%
STEM 12-S,9,6,0,83.9%
STEM 12-K1,1,1,0,100.0%
STEM 12-K2,1,1,0,100.0%
STEM 12-L1,1,1,0,100.0%
STEM 12-L2,1,1,0,100.0%
STEM 12-M1,1,1,0,100.0%
STEM 12-M2,1,1,0,100.0%
STEM 12-N1,1,1,0,70.0%
STEM 12-N2,1,1,0,100.0%
STEM 12-O1,1,1,0,100.0%
STEM 12-O2,1,1,0,100.0%
STEM 12-P1,1,1,0,100.0%
STEM 12-P2,1,1,0,100.0%
STEM 12-Q1,1,1,0,70.0%
STEM 12-Q2,1,1,0,100.0%
STEM 12-R1,1,1,0,100.0%
STEM 12-R2,1,1,0,100.0%
STEM 12-S1,1,1,0,100.0%
STEM 12-S2,1,1,0,100.0%
STEM 12-A1,1,1,0,100.0%
STEM 12-A2,1,1,0,100.0%
STEM 12-B1,1,1,0,100.0%
STEM 12-B2,1,1,0,100.0%
STEM 12-C1,1,1,0,100.0%
STEM 12-C2,1,1,0,100.0%
STEM 12-D1,1,1,0,100.0%
STEM 12-D2,1,1,0,100.0%
STEM 12-E1,1,1,0,100.0%
STEM 12-E2,1,1,0,100.0%
STEM 12-F1,1,1,0,100.0%
STEM 12-F2,1,1,0,100.0%
STEM 12-G1,1,1,0,100.0%
STEM 12-G2,1,1,0,100.0%
STEM 12-H1,1,1,0,100.0%
STEM 12-H2,1,1,0,100.0%
STEM 12-I1,1,1,0,100.0%
STEM 12-I2,1,1,0,100.0%
STEM 12-J1,1,1,0,100.0%
STEM 12-J2,1,1,0,100.0%
T-ADTCWR-1,4,2,2,45.0%
T-ADTDNC-1,4,4,2,60.0%
T-ADTMUS-1,4,3,2,45.6%
T-ADTTAR-1,4,2,2,56.7%
T-ADTVMA-1,4,3,2,55.6%
T-ADTVMA-2,4,3,2,60.0%
T-ADTVMA-3,4,4,2,60.0%
HUMSS 12-A,6,4,0,86.7%
HUMSS 12-B,6,5,0,97.3%
HUMSS 12-C,6,4,0,92.5%
HUMSS 12-D,6,6,0,100.0%
SPT 11-A,9,5,1,66.7%
SPT 12-A,8,6,1,75.0%
