Section,Classes,Duplicates,Quality
ABM 11-A,8,0,98.0%
ABM 11-B,8,0,99.2%
ABM 11-C,8,0,97.9%
ABM 11-D,8,0,99.3%
ABM 11-E,8,0,99.3%
ABM 11-F,8,0,99.2%
ABM 11-G,8,0,99.3%
ABM 11-H,8,0,98.0%
ABM 11-I,8,0,99.2%
ABM 11-J,8,0,98.9%
ADT 11-A,8,0,96.7%
ADT 11-B,8,0,94.2%
HUMSS 11-A,8,0,90.0%
HUMSS 11-B,7,0,96.7%
HUMSS 11-C,8,0,96.1%
HUMSS 11-D,8,0,92.2%
HUMSS 11-E,8,0,96.2%
STEM 11-A,8,0,91.7%
STEM 11-B,8,0,93.3%
STEM 11-C,8,0,99.2%
STEM 11-D,8,0,88.9%
STEM 11-E,8,0,99.3%
STEM 11-F,8,0,97.2%
STEM 11-G,8,0,84.4%
STEM 11-H,7,0,98.9%
STEM 11-I,7,0,99.2%
STEM 11-J,7,0,98.9%
STEM 11-K,7,0,93.3%
STEM 11-L,7,0,99.2%
STEM 11-M,7,0,99.2%
STEM 11-N,7,0,98.9%
ADT 12-C,6,0,98.9%
ADT 12-A,6,0,98.9%
ADT 12-B,6,0,98.9%
ABM 12-A,7,0,98.9%
ABM 12-B,7,0,97.5%
ABM 12-C,7,0,99.2%
ABM 12-D,7,0,100.0%
ABM 12-E,7,0,95.8%
ABM 12-F,7,0,97.5%
ABM 12-G,7,0,98.9%
ABM 12-H,7,0,98.9%
ABM 12-I,7,0,97.8%
ABM 12-J,7,0,93.3%
STEM 12-A,9,0,95.3%
STEM 12-B,9,0,94.2%
STEM 12-C,9,0,94.2%
STEM 12-D,9,0,94.6%
STEM 12-E,9,0,89.4%
STEM 12-F,9,0,95.4%
STEM 12-G,9,0,95.3%
STEM 12-H,9,0,96.7%
STEM 12-I,9,0,96.7%
STEM 12-J,9,0,89.3%
HUMSS 12-A1,1,0,100.0%
HUMSS 12-A2,1,0,100.0%
HUMSS 12-B1,1,0,100.0%
HUMSS 12-B2,1,0,100.0%
HUMSS 12-C1,1,0,100.0%
HUMSS 12-C2,1,0,100.0%
HUMSS 12-D1,1,0,100.0%
HUMSS 12-D2,1,0,100.0%
STEM 12-K,9,0,94.2%
STEM 12-L,9,0,94.2%
STEM 12-M,9,0,77.8%
STEM 12-N,9,0,92.2%
STEM 12-O,9,0,94.2%
STEM 12-P,9,0,95.3%
STEM 12-Q,9,0,91.1%
STEM 12-R,9,0,92.2%
STEM 12-S,9,0,94.2%
STEM 12-K1,1,0,100.0%
STEM 12-K2,1,0,100.0%
STEM 12-L1,1,0,100.0%
STEM 12-L2,1,0,100.0%
STEM 12-M1,1,0,100.0%
STEM 12-M2,1,0,100.0%
STEM 12-N1,1,0,100.0%
STEM 12-N2,1,0,100.0%
STEM 12-O1,1,0,100.0%
STEM 12-O2,1,0,100.0%
STEM 12-P1,1,0,100.0%
STEM 12-P2,1,0,100.0%
STEM 12-Q1,1,0,100.0%
STEM 12-Q2,1,0,100.0%
STEM 12-R1,1,0,100.0%
STEM 12-R2,1,0,100.0%
STEM 12-S1,1,0,100.0%
STEM 12-S2,1,0,100.0%
STEM 12-A1,1,0,100.0%
STEM 12-A2,1,0,100.0%
STEM 12-B1,1,0,100.0%
STEM 12-B2,1,0,100.0%
STEM 12-C1,1,0,100.0%
STEM 12-C2,1,0,100.0%
STEM 12-D1,1,0,100.0%
STEM 12-D2,1,0,100.0%
STEM 12-E1,1,0,100.0%
STEM 12-E2,1,0,100.0%
STEM 12-F1,1,0,100.0%
STEM 12-F2,1,0,100.0%
STEM 12-G1,1,0,100.0%
STEM 12-G2,1,0,100.0%
STEM 12-H1,1,0,100.0%
STEM 12-H2,1,0,100.0%
STEM 12-I1,1,0,100.0%
STEM 12-I2,1,0,100.0%
STEM 12-J1,1,0,100.0%
STEM 12-J2,1,0,100.0%
T-ADTCWR-1,2,0,100.0%
T-ADTDNC-1,2,0,100.0%
T-ADTMUS-1,2,0,100.0%
T-ADTTAR-1,2,0,100.0%
T-ADTVMA-1,2,0,100.0%
T-ADTVMA-2,2,0,100.0%
T-ADTVMA-3,2,0,100.0%
HUMSS 12-A,6,0,98.9%
HUMSS 12-B,6,0,98.9%
HUMSS 12-C,6,0,97.8%
HUMSS 12-D,6,0,94.4%
SPT 11-A,8,0,94.7%
SPT 12-A,7,0,99.2%
HUMSS 11-B ,1,0,100.0%
