Subject,Area
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream),Arts/Design
CONTEMPORARY PHILIPPINE ARTS FROM THE REGION,Arts/Design
CREATIVE INDUSTRIES 1 APPLIED ARTS DESIGN,Arts/Design
APPLIED ECONOMICS,Business/ABM
BUSINESS FINANCE,Business/ABM
"FUNDAMENTALS OF ACCOUNTING,BUSINESS AND MANAGEMENT 2",Business/ABM
ORGANIZATION AND MANAGEMENT,Business/ABM
CHRISTIAN LIVING 1,Social Studies
CHRISTIAN LIVING 4,Social Studies
"COMMUNITY, ENGAGEMENT,SOLIDARITY AND CITIZENSHIP",Social Studies
DISASTER READINESS AND RISK REDUCTION,Science
DISCIPLINE AND IDEAS IN THE APPLIED SOCIAL SCIENCE,Science
EARTH AND LIFE SCIENCE,Science
EMPOWERMENT TECHNOLOGIES 1 (COMPUTATIONAL THINKING),ICT
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),ICT
MEDIA AND INFORMATION LITERACY,English/Communication
ORAL COMMUNICATION IN CONTEXT,English/Communication
KOMUNIKASYON AT PANANALIKSIK SA WIKA AT KULTURANG PILIPINO,Research
FUNDAMENTALS OF COACHING,Fundamentals
HOMEROOM,Homeroom
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1,Arts/Design
LEADERSHIP AND MANAGEMENT IN DIFFERENT ARTS FIELD 1,Arts/Design
21ST CENTURY LITERATURE FROM THE PHILIPPINES AND THE WORLD,Literature
CREATIVE WRITING,Literature
GENERAL MATHEMATICS,Math
MEDIA INFORMATION AND LITERACY,English/Communication
PERSONAL DEVELOPMENT,PE/Health
PHYSICAL EDUCATION AND HEALTH 1,PE/Health
PHYSICAL EDUCATION AND HEALTH 3,PE/Health
PHYSICAL EDUCATION AND HEALTH 4,PE/Health
SPORTS OFFICIATING AND ACTIVITY MANAGEMENT,PE/Health
PRACTICAL RESEARCH 2,Research
EARTH SCIENCE,Science
GENERAL BIOLOGY 2,Science
GENERAL BIOLOGY 2-LABORATORY,Science
GENERAL CHEMISTRY 1,Science
GENERAL CHEMISTRY 1-LABORATORY,Science
GENERAL CHEMISTRY 2,Science
GENERAL CHEMISTRY 2-LABORATORY,Science
GENERAL PHYSICS 1,Science
GENERAL PHYSICS 1-LABORATORY,Science
INTRODUCTION TO THE PHILOSOPHY OF THE HUMAN PERSON,Social Studies
STATISTICS AND PROBABILITIES,Math
"UNDERSTANDING CULTURE, SOCIETY AND POLITICS",Social Studies
