episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/cma_E_policy/num_agent_steps_trained,info/learner/cma_E_policy/num_grad_updates_lifetime,info/learner/cma_E_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/saha_policy/num_agent_steps_trained,info/learner/saha_policy/num_grad_updates_lifetime,info/learner/saha_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/cma_E_policy/learner_stats/allreduce_latency,info/learner/cma_E_policy/learner_stats/grad_gnorm,info/learner/cma_E_policy/learner_stats/cur_kl_coeff,info/learner/cma_E_policy/learner_stats/cur_lr,info/learner/cma_E_policy/learner_stats/total_loss,info/learner/cma_E_policy/learner_stats/policy_loss,info/learner/cma_E_policy/learner_stats/vf_loss,info/learner/cma_E_policy/learner_stats/vf_explained_var,info/learner/cma_E_policy/learner_stats/kl,info/learner/cma_E_policy/learner_stats/entropy,info/learner/cma_E_policy/learner_stats/entropy_coeff,info/learner/saha_policy/learner_stats/allreduce_latency,info/learner/saha_policy/learner_stats/grad_gnorm,info/learner/saha_policy/learner_stats/cur_kl_coeff,info/learner/saha_policy/learner_stats/cur_lr,info/learner/saha_policy/learner_stats/total_loss,info/learner/saha_policy/learner_stats/policy_loss,info/learner/saha_policy/learner_stats/vf_loss,info/learner/saha_policy/learner_stats/vf_explained_var,info/learner/saha_policy/learner_stats/kl,info/learner/saha_policy/learner_stats/entropy,info/learner/saha_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,0,0,0,117,117,128,128,128,128,44.51488763299636,44.51488763299636,128,128,117,False,0,1,6a993_00000,2025-07-04_05-12-43,1751577163,2.8754425048828125,2.8754425048828125,31404,Royal,127.0.0.1,2.8754425048828125,1,128,128,117,117,nan,nan,nan,nan,0,0,[],[],2875.443,834.107,2037.801,62.813,0.0,128,128,117,117,16.18,83.2,[],[],22.0,15.5,14.5,47.5,30.5,29.5,0.0,0.8867452904582024,0.20000000000000007,0.00019999999999999996,9.856151580810547,-0.1469820019647931,10.0,-8.153915405273438e-05,0.015667736666046036,3.5674408276875815,0.0,0.0,0.5883055234948794,0.19999999999999993,0.00020000000000000006,9.866791677474975,-0.13595459843054414,10.0,4.694561163584391e-05,0.01373059850065383,4.773734211921692,0.0
nan,nan,nan,nan,0,0,0,0,0,245,245,256,256,128,128,45.498124848567954,45.498124848567954,256,128,245,False,0,2,6a993_00000,2025-07-04_05-12-46,1751577166,2.813302755355835,5.6887452602386475,31404,Royal,127.0.0.1,5.6887452602386475,2,256,256,245,245,nan,nan,nan,nan,0,0,[],[],2844.373,807.984,2033.622,62.942,0.0,256,256,245,245,14.375,83.125,[],[],38.5,60.5,29.5,51.0,75.5,14.5,0.0,0.6472802410523096,0.19999999999999993,0.00020000000000000006,9.935625076293945,-0.06748840796644799,10.0,4.890561103820801e-06,0.015567881216201491,3.5539903084437054,0.0,0.0,0.595388962328434,0.20000000000000007,0.00019999999999999996,9.837694517771403,-0.16504051888672014,10.0,-1.6689300537109375e-05,0.013675657698574166,4.750340255101522,0.0
nan,nan,nan,nan,0,0,0,0,0,373,373,384,384,128,128,58.758534430875415,58.758534430875415,384,128,373,False,0,3,6a993_00000,2025-07-04_05-12-49,1751577169,2.1784069538116455,7.867152214050293,31404,Royal,127.0.0.1,7.867152214050293,3,384,384,373,373,nan,nan,nan,nan,0,0,[],[],2622.384,805.096,1815.111,70.519,0.0,384,384,373,373,24.833333333333332,83.1,[],[],64.0,120.5,29.5,,,,0.0,0.1388115211079518,0.19999999999999993,0.00020000000000000006,9.997605085372925,-0.002401087712496519,10.0,-9.5367431640625e-07,3.0821185418972163e-05,3.5831416924794515,0.0,,,,,,,,,,,
nan,nan,nan,nan,0,0,0,0,0,501,501,512,512,128,128,60.363424821089595,60.363424821089595,512,128,501,False,0,4,6a993_00000,2025-07-04_05-12-51,1751577171,2.1204893589019775,9.98764157295227,31404,Royal,127.0.0.1,9.98764157295227,4,512,512,501,501,nan,nan,nan,nan,0,0,[],[],2496.91,796.768,1698.024,75.382,0.0,512,512,501,501,22.633333333333336,83.1,[],[],64.0,180.5,29.5,,,,0.0,0.12820222141842047,0.09999999999999996,0.00020000000000000006,9.997885052363078,-0.002117062360048294,10.0,-9.5367431640625e-07,2.137911801582959e-05,3.5829423387845356,0.0,,,,,,,,,,,
nan,nan,nan,nan,0,0,0,0,0,629,629,640,640,128,128,58.846176703959856,58.846176703959856,640,128,629,False,0,5,6a993_00000,2025-07-04_05-12-53,1751577173,2.1751625537872314,12.162804126739502,31404,Royal,127.0.0.1,12.162804126739502,5,640,640,629,629,nan,nan,nan,nan,0,0,[],[],2432.561,801.881,1628.784,78.586,0.0,640,640,629,629,27.066666666666666,83.2,[],[],64.0,240.5,29.5,,,,0.0,0.16801350377500057,0.04999999999999998,0.00020000000000000006,9.99021544456482,-0.009801623908181985,10.0,-9.5367431640625e-07,0.00034202417173598103,3.5821672519048056,0.0,,,,,,,,,,,
nan,nan,nan,nan,0,0,0,0,0,757,757,768,768,128,128,60.82633949258409,60.82633949258409,768,128,757,False,0,6,6a993_00000,2025-07-04_05-12-55,1751577175,2.10435152053833,14.267155647277832,31404,Royal,127.0.0.1,14.267155647277832,6,768,768,757,757,nan,nan,nan,nan,0,0,[],[],2377.859,802.318,1573.809,81.331,0.0,768,768,757,757,28.933333333333334,83.13333333333334,[],[],64.0,300.5,29.5,,,,0.0,0.19512609392404556,0.02499999999999999,0.00020000000000000006,9.985530662536622,-0.014489323071514567,10.0,-9.5367431640625e-07,0.0008013140727295347,3.578388253847758,0.0,,,,,,,,,,,
nan,nan,nan,nan,0,0,0,0,0,885,885,896,896,128,128,60.46286180857833,60.46286180857833,896,128,885,False,0,7,6a993_00000,2025-07-04_05-12-57,1751577177,2.117002010345459,16.38415765762329,31404,Royal,127.0.0.1,16.38415765762329,7,896,896,885,885,nan,nan,nan,nan,0,0,[],[],2340.594,799.724,1539.102,83.165,0.0,896,896,885,885,20.066666666666666,83.33333333333333,[],[],64.0,360.5,29.5,,,,0.0,0.210285022854805,0.012499999999999995,0.00020000000000000006,9.98348135948181,-0.01653450184967369,10.0,-9.5367431640625e-07,0.0012652473153745329,3.5728674570719403,0.0,,,,,,,,,,,
nan,nan,nan,nan,0,0,0,0,0,1013,1013,1024,1024,128,128,60.976191192807306,60.976191192807306,1024,128,1013,False,0,8,6a993_00000,2025-07-04_05-12-59,1751577179,2.099179983139038,18.48333764076233,31404,Royal,127.0.0.1,18.48333764076233,8,1024,1024,1013,1013,nan,nan,nan,nan,0,0,[],[],2310.417,795.109,1513.636,84.565,0.0,1024,1024,1013,1013,23.03333333333333,83.2,[],[],64.0,420.5,29.5,,,,0.0,0.2596527598798275,0.006249999999999998,0.00020000000000000006,9.967761103312174,-0.03226924796278278,10.0,-9.5367431640625e-07,0.004838815718176193,3.5588423728942873,0.0,,,,,,,,,,,
nan,nan,nan,nan,0,0,0,0,0,1141,1141,1152,1152,128,128,59.78759631374854,59.78759631374854,1152,128,1141,False,0,9,6a993_00000,2025-07-04_05-13-02,1751577182,2.142932176589966,20.626269817352295,31404,Royal,127.0.0.1,20.626269817352295,9,1152,1152,1141,1141,nan,nan,nan,nan,0,0,[],[],2291.583,791.961,1498.136,85.44,0.0,1152,1152,1141,1141,16.400000000000002,83.2,[],[],64.0,480.5,29.5,,,,0.0,0.289217750976483,0.003124999999999999,0.00020000000000000006,9.948440170288086,-0.051589401842405395,10.0,-9.5367431640625e-07,0.009474615087916997,3.5375892758369445,0.0,,,,,,,,,,,
nan,nan,nan,nan,0,0,0,0,0,1269,1269,1280,1280,128,128,58.62460171821212,58.62460171821212,1280,128,1269,False,0,10,6a993_00000,2025-07-04_05-13-04,1751577184,2.1843838691711426,22.810653686523438,31404,Royal,127.0.0.1,22.810653686523438,10,1280,1280,1269,1269,nan,nan,nan,nan,0,0,[],[],2280.763,792.248,1487.177,86.069,0.0,1280,1280,1269,1269,25.96666666666667,83.2,[],[],64.0,540.5,29.5,,,,0.0,0.3326155429085096,0.003124999999999999,0.00020000000000000006,9.92610535621643,-0.0739506446601202,10.0,-9.5367431640625e-07,0.017864445333058636,3.482394214471181,0.0,,,,,,,,,,,
